,State,County,Base Estimate,2020,2021,2022
363, Florida,Martin,158435,158658,160249.0,162006.0
364, Florida,Miami-Dade,2701762,2695501,2670421.0,2673837.0
365, Florida,Monroe,82879,82852,82265.0,81708.0
366, Florida,Nassau,90355,91027,94393.0,97899.0
367, Florida,Okaloosa,211664,212071,213647.0,216482.0
368, Florida,Okeechobee,39636,39642,40044.0,40412.0
369, Florida,Orange,1429901,1431573,1427928.0,1452726.0
370, Florida,Osceola,388664,391118,404020.0,422545.0
371, Florida,Palm,1492198,1494173,1503223.0,1518477.0
372, Florida,Pasco,561897,566126,584927.0,608794.0
373, Florida,Pinellas,959103,959465,959046.0,961739.0
374, Florida,Polk,725041,730111,755179.0,787404.0
375, Florida,Putnam,73327,73376,74059.0,74731.0
376, Florida,St.,273427,277085,293175.0,306841.0
377, Florida,St.,329227,331428,344283.0,358704.0
378, Florida,Santa,187991,188989,193783.0,198268.0
379, Florida,Sarasota,434005,436207,448550.0,462286.0
380, Florida,Seminole,470855,471428,471009.0,478772.0
381, Florida,Sumter,129751,130298,134867.0,144970.0
382, Florida,Suwannee,43472,43517,44092.0,45411.0
383, Florida,Taylor,21800,21739,20786.0,21283.0
384, Florida,Union,16138,15417,15825.0,15460.0
385, Florida,Volusia,553561,555764,565988.0,579192.0
386, Florida,Wakulla,33766,33895,34274.0,35178.0
387, Florida,Walton,75306,75937,79988.0,83304.0
388, Florida,Washington,25322,25313,24877.0,25414.0
389, Georgia,Appling,18440,18366,18411.0,18428.0
390, Georgia,Atkinson,8289,8311,8358.0,8183.0
391, Georgia,Bacon,11140,11108,11071.0,11191.0
392, Georgia,Baker,2875,2851,2827.0,2788.0
393, Georgia,Baldwin,43795,43794,43671.0,43635.0
394, Georgia,Banks,18037,18082,18538.0,19328.0
395, Georgia,Barrow,83507,83975,86672.0,89299.0
396, Georgia,Bartow,108888,109296,110901.0,112816.0
397, Georgia,Ben,17195,17168,17152.0,17069.0
398, Georgia,Berrien,18166,18148,18128.0,18214.0
399, Georgia,Bibb,157347,157025,155985.0,156197.0
400, Georgia,Bleckley,12585,12524,12255.0,12257.0
401, Georgia,Brantley,18021,18043,18121.0,18183.0
402, Georgia,Brooks,16299,16268,16285.0,16253.0
403, Georgia,Bryan,44739,45035,46963.0,48225.0
404, Georgia,Bulloch,79647,79918,80637.0,83059.0
405, Georgia,Burke,24594,24633,24333.0,24388.0
406, Georgia,Butts,25440,25551,26114.0,26649.0
407, Georgia,Calhoun,5576,5573,5534.0,5469.0
408, Georgia,Camden,54769,54925,55754.0,57013.0
409, Georgia,Candler,10990,11022,11000.0,11000.0
410, Georgia,Carroll,119141,119484,121592.0,124592.0
411, Georgia,Catoosa,67873,68006,68420.0,68826.0
412, Georgia,Charlton,12518,12532,12813.0,12781.0
413, Georgia,Chatham,295280,295064,295656.0,301107.0
414, Georgia,Chattahoochee,9568,9481,9044.0,8819.0
415, Georgia,Chattooga,24969,24922,24828.0,24936.0
416, Georgia,Cherokee,266625,268175,274839.0,281278.0
417, Georgia,Clarke,128671,128550,129185.0,129875.0
418, Georgia,Clay,2847,2830,2859.0,2845.0
419, Georgia,Clayton,297608,297623,297318.0,296564.0
420, Georgia,Clinch,6746,6725,6698.0,6662.0
421, Georgia,Cobb,766160,766374,766691.0,771952.0
422, Georgia,Coffee,43088,43052,42997.0,43172.0
423, Georgia,Colquitt,45902,45900,45757.0,45762.0
424, Georgia,Columbia,156010,156849,159636.0,162419.0
425, Georgia,Cook,17230,17234,17266.0,17404.0
426, Georgia,Coweta,146154,146725,149925.0,152882.0
427, Georgia,Crawford,12130,12103,12139.0,12140.0
428, Georgia,Crisp,20127,20050,20024.0,19708.0
429, Georgia,Dade,16246,16235,16230.0,16081.0
430, Georgia,Dawson,26796,27056,28475.0,30138.0
431, Georgia,Decatur,29369,29324,29045.0,28982.0
432, Georgia,DeKalb,764386,764420,759231.0,762820.0
433, Georgia,Dodge,19929,19874,19675.0,19802.0
434, Georgia,Dooly,11212,11165,10881.0,10572.0
435, Georgia,Dougherty,85790,85153,82267.0,82966.0
436, Georgia,Douglas,144227,144552,145628.0,147316.0
437, Georgia,Early,10855,10799,10651.0,10574.0
438, Georgia,Echols,3703,3720,3708.0,3686.0
439, Georgia,Effingham,64768,65158,66746.0,69041.0
440, Georgia,Elbert,19638,19667,19554.0,19814.0
441, Georgia,Emanuel,22769,22887,22887.0,22929.0
442, Georgia,Evans,10772,10790,10711.0,10695.0
443, Georgia,Fannin,25319,25434,25763.0,25737.0
444, Georgia,Fayette,119186,119483,120681.0,122030.0
445, Georgia,Floyd,98586,98575,98499.0,99443.0
446, Georgia,Forsyth,251283,252878,260721.0,267237.0
447, Georgia,Franklin,23424,23468,23503.0,24128.0
448, Georgia,Fulton,1066702,1069370,1062531.0,1074634.0
449, Georgia,Gilmer,31354,31428,32090.0,32407.0
