,CountyName,StateName,Fatals,lat,long
367,CARROLL ,New Hampshire,28,44.2982755,-71.5411719
368,CARROLL ,Ohio,16,39.7989528,-82.7010016
369,CARROLL ,Tennessee,18,35.7184028,-88.8200586
370,CARSON ,Texas,12,33.7020461,-96.0058073
371,CARTER ,Kentucky,19,38.4289683,-83.1207313
372,CARTER ,Missouri,11,36.9303011,-90.9598933
373,CARTER ,Montana,1,43.4088984,23.2203193
374,CARTER ,Oklahoma,31,35.2189409,-99.5056465
375,CARTER ,Tennessee,32,36.412891,-82.0804034
376,CARTERET ,North Carolina,38,34.6915509,-77.0630033
377,CARVER ,Minnesota,30,44.7635738,-93.625791
378,CASCADE ,Montana,39,47.271061,-111.700537
379,CASEY ,Kentucky,8,37.3344933,-86.6074854
380,CASS ,Illinois,6,39.9682127,-90.250722
381,CASS ,Indiana,18,39.0869874,-87.2786267
382,CASS ,Iowa,11,41.3122834,-94.9215151
383,CASS ,Michigan,41,41.9090169,-85.9970051
384,CASS ,Minnesota,26,47.0234117,-94.3454604
385,CASS ,Missouri,53,38.6585427,-94.3721539
386,CASS ,Nebraska,23,40.9017313,-96.1922102
387,CASS ,North Dakota,35,46.9241972,-97.220631
388,CASS ,Texas,39,33.0560857,-94.3510366
389,CASSIA ,Idaho,15,42.2219306,-113.5777087
390,CASTRO ,Texas,9,34.4952536,-102.2592314
391,CASWELL ,North Carolina,19,33.8960076,-78.051102
392,CATAHOULA ,Louisiana,6,30.2146431,-91.7090023
393,CATAWBA ,North Carolina,88,35.7073558,-81.0756345
394,CATAÑO ,Puerto Rico,6,18.44134,-66.11822
395,CATOOSA ,Georgia,27,34.913942,-85.0555103
396,CATRON ,New Mexico,7,33.9026943,-108.3800825
397,CATTARAUGUS ,New York,27,42.329229,-78.86809
398,CAYEY ,Puerto Rico,11,18.11191,-66.171175
399,CAYUGA ,New York,23,42.9189555,-76.7263397
400,CECIL ,Maryland,70,39.657056,-75.8171601
401,CEDAR ,Iowa,12,41.7608608,-91.1263198
402,CEDAR ,Missouri,10,37.7084225,-93.861222
403,CEDAR ,Nebraska,7,42.5947161,-97.2399373
404,CEIBA ,Puerto Rico,1,18.263662,-65.65
405,CENTRE ,Pennsylvania,37,40.3561943,-77.4072089
406,CERRO GORDO ,Iowa,21,43.0742443,-93.2548746
407,CHAFFEE ,Colorado,17,38.7413025,-106.1825012
408,CHAMBERS ,Alabama,30,33.2417826,-87.1580519
409,CHAMBERS ,Texas,44,31.1785194,-92.4137462
410,CHAMPAIGN ,Illinois,59,40.1164841,-88.2430932
411,CHAMPAIGN ,Ohio,21,40.1726987,-83.7701999
412,CHARITON ,Missouri,3,39.5372927,-92.9524728
413,CHARLES ,Maryland,78,39.3216829,-76.6167849
